Date,Intl_sales,Intl_refund,Intl_total,Dom_sales,Dom_refund,Dom_total,G_total
2020-08-31,77643982,-52595979,25048003,473366882,-690500725,-217133843,-192085840
2020-09-01,75533721,-30208891,45324830,557545249,-481423518,76121731,121446561
2020-09-02,54356610,-32982071,21374539,527702825,-459201407,68501418,89875957
2020-09-03,67225352,-53433720,13791632,582583360,-462033452,120549908,134341540
2020-09-04,42737344,-33373794,9363550,604182529,-428216607,175965922,185329472
2020-09-05,20463700,-11113069,9350631,460125939,-202591789,257534150,266884781
2020-09-06,16701614,-3768205,12933409,541284965,-224820195,316464770,329398179
Total,354662323,-217475729,137186594,3746791749,-2948787693,798004056,935190650
